s1 table
xx 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
04 00 00 00 00 00 06 00 14 00 06 10 04 10 06 04 04
05 02 00 04 08 02 04 06 06 02 00 08 04 02 04 10 02
06 00 12 06 04 06 04 06 02 02 10 02 08 02 00 00 00
07 04 06 06 04 02 04 04 02 06 04 02 04 04 06 00 06
08 00 00 00 04 00 04 00 08 00 10 16 06 06 00 06 04
09 14 02 04 10 02 08 02 06 02 04 00 00 02 02 02 04
0A 00 06 06 02 10 04 10 02 06 02 02 04 02 02 04 02
0B 06 02 02 00 02 04 06 02 10 02 00 06 06 04 04 08
0C 00 00 00 04 00 14 00 10 00 06 02 04 04 08 06 06
0D 06 02 06 02 10 02 00 04 00 10 04 02 08 02 02 04
0E 00 06 12 08 00 04 02 00 08 02 04 04 06 02 00 06
0F 00 08 02 00 06 06 08 02 04 04 04 06 08 00 04 02
10 00 00 00 08 00 04 10 02 00 02 08 10 00 10 06 04
11 06 06 04 06 04 00 06 04 08 02 10 02 02 04 00 00
12 00 06 02 06 02 04 12 04 06 04 00 04 04 06 02 02
13 04 00 04 00 08 06 06 00 00 02 00 06 04 08 02 14
14 00 06 06 04 10 00 02 12 06 02 02 02 04 04 02 02
15 06 08 02 00 08 02 00 02 02 02 02 02 02 14 10 02
16 00 08 06 04 02 02 04 02 06 04 06 02 06 00 06 06
17 06 04 08 06 04 04 00 04 06 02 04 04 04 02 04 02
18 00 06 04 06 10 04 00 02 04 08 00 00 04 08 02 06
19 02 04 06 04 04 02 04 02 06 04 06 08 00 06 04 02
1A 00 06 08 04 02 04 02 02 08 02 02 06 02 04 04 08
1B 00 06 04 04 00 12 06 04 02 02 02 04 04 02 10 02
1C 00 04 06 06 12 00 04 00 10 02 06 02 00 00 10 02
1D 00 06 02 02 06 00 04 16 04 04 02 00 00 04 06 08
1E 00 04 08 02 10 06 06 00 08 04 00 02 04 04 00 06
1F 04 02 06 06 02 02 02 04 08 06 10 06 04 00 00 02
20 00 00 00 02 00 12 10 04 00 00 00 02 14 02 08 10
21 00 04 06 08 02 10 04 02 02 06 04 02 06 02 00 06
22 04 12 08 04 02 02 00 00 02 08 08 06 00 06 00 02
23 08 02 00 02 08 04 02 06 04 08 02 02 06 04 02 04
24 10 04 00 00 00 04 00 02 06 08 06 10 08 00 02 04
25 06 00 12 02 08 06 10 00 00 08 02 06 00 00 02 02
26 02 02 04 04 02 02 10 14 02 00 04 02 02 04 06 04
27 06 00 00 02 06 04 02 04 04 04 08 04 08 00 06 06
28 08 00 08 02 04 12 02 00 02 06 02 00 06 02 00 10
29 00 02 04 10 02 08 06 04 00 10 00 02 10 00 02 04
2A 04 00 04 08 06 02 04 04 06 06 02 06 02 02 04 04
2B 02 02 06 04 00 02 02 06 02 08 08 04 04 04 08 02
2C 10 06 08 06 00 06 04 04 04 02 04 04 00 00 02 04
2D 02 02 02 04 00 00 00 02 08 04 04 06 10 02 14 04
2E 02 04 00 02 10 04 02 00 02 02 06 02 08 08 10 02
2F 12 04 06 08 02 06 02 08 00 04 00 02 00 08 02 00
30 00 04 00 02 04 04 08 06 10 06 02 12 00 00 00 06
31 00 10 02 00 06 02 10 02 06 00 02 00 06 06 04 08
32 08 04 06 00 06 04 04 08 04 06 08 00 02 02 02 00
33 02 02 06 10 02 00 00 06 04 04 12 08 04 02 02 00
34 00 12 06 04 06 00 04 04 04 00 04 06 04 02 04 04
35 00 12 04 06 02 04 04 00 10 00 00 08 00 08 00 06
36 08 02 04 00 04 00 04 02 00 08 04 02 06 16 02 02
37 06 02 02 02 06 06 04 08 02 02 06 02 02 02 04 08
38 00 08 08 10 06 02 02 00 04 00 04 02 04 00 04 10
39 00 02 00 00 08 00 10 04 10 00 08 04 04 04 04 06
3A 04 00 02 08 04 02 02 02 04 08 02 00 04 10 10 02
3B 16 04 04 02 08 02 02 06 04 04 04 02 00 02 02 02
3C 00 02 06 02 08 04 06 00 10 02 02 04 04 10 04 00
3D 00 16 10 02 04 02 04 02 08 00 00 08 00 06 02 00
3E 04 04 00 10 02 04 02 14 04 02 06 06 00 00 06 00
3F 04 00 00 02 00 08 02 04 00 02 04 04 04 14 10 06
Maximum = 16 for row = 08 and column = 0A
left = 40080000	right = 04000000

s3 table
xx 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01 00 00 00 02 00 04 02 12 00 14 00 04 08 02 06 10
02 00 00 00 02 00 02 00 08 00 04 12 10 04 06 08 08
03 08 06 10 04 08 06 00 06 04 04 00 00 00 04 02 02
04 00 00 00 04 00 02 04 02 00 12 08 04 06 08 10 04
05 06 02 04 08 06 10 06 02 02 08 02 00 02 00 04 02
06 00 10 06 06 10 00 04 12 02 04 00 00 06 04 00 00
07 02 00 00 04 04 04 04 02 10 04 04 08 04 04 04 06
08 00 00 00 10 00 04 04 06 00 06 06 06 06 00 08 08
09 10 02 00 02 10 04 06 02 00 06 00 04 06 02 04 06
0A 00 10 06 00 14 06 04 00 04 06 06 00 04 00 02 02
0B 02 06 02 10 02 02 04 00 04 02 06 00 02 08 14 00
0C 00 00 00 08 00 12 12 04 00 08 00 04 02 10 02 02
0D 08 02 08 00 00 04 02 00 02 08 14 02 06 02 04 02
0E 00 04 04 02 04 02 04 04 10 04 04 04 04 04 02 08
0F 04 06 04 06 02 02 04 08 06 02 06 02 00 06 02 04
10 00 00 00 04 00 12 04 08 00 04 02 06 02 14 00 08
11 08 02 02 06 04 00 02 00 08 04 12 02 10 00 02 02
12 00 02 08 02 04 08 00 08 08 00 02 02 04 02 14 00
13 04 04 12 00 02 02 02 10 02 02 02 02 04 04 04 08
14 00 06 04 04 06 04 06 02 08 06 06 02 02 00 00 08
15 04 08 02 08 02 04 08 00 04 02 02 02 02 06 08 02
16 00 06 10 02 08 04 02 00 02 02 02 08 04 06 04 04
17 00 06 06 00 06 02 04 04 06 02 02 10 06 08 02 00
18 00 08 04 06 06 00 06 02 04 00 04 02 10 00 06 06
19 04 02 04 08 04 02 10 02 02 02 06 08 02 06 00 02
1A 00 08 06 04 04 00 06 04 04 08 00 10 02 02 02 04
1B 04 10 02 00 02 04 02 04 08 02 02 08 04 02 08 02
1C 00 06 08 08 04 02 08 00 12 00 10 00 04 00 02 00
1D 00 02 00 06 02 08 04 06 02 00 04 02 04 10 00 14
1E 00 04 08 02 04 06 00 04 10 00 02 06 04 08 04 02
1F 00 06 08 00 10 06 04 06 04 02 02 10 04 00 00 02
20 00 00 00 00 00 04 04 08 00 02 02 04 10 16 12 02
21 10 08 08 00 08 04 02 04 00 06 06 06 00 00 02 00
22 12 06 04 04 02 04 10 02 00 04 04 02 04 04 00 02
23 02 02 00 06 00 02 04 00 04 12 04 02 06 04 08 08
24 04 08 02 12 06 04 02 10 02 02 02 04 02 00 04 00
25 06 00 02 00 08 02 00 02 08 08 02 02 04 04 10 06
26 06 02 00 04 04 00 04 00 04 02 14 00 08 10 00 06
27 00 02 04 16 08 06 06 06 00 02 04 04 00 02 02 02
28 06 02 10 00 06 04 00 04 04 02 04 08 02 02 08 02
29 00 02 08 04 00 04 00 06 04 10 04 08 04 04 04 02
2A 02 06 00 04 02 04 04 06 04 08 04 04 04 02 04 06
2B 10 02 06 06 04 04 08 00 04 02 02 00 02 04 04 06
2C 10 04 06 02 04 02 02 02 04 10 04 04 00 02 06 02
2D 04 02 04 04 04 02 04 16 02 00 00 04 04 02 06 06
2E 04 00 02 10 00 06 10 04 02 06 06 02 02 00 02 08
2F 08 02 00 00 04 04 04 02 06 04 06 02 04 08 04 06
30 00 10 08 06 02 00 04 02 10 04 04 06 02 00 06 00
31 02 06 02 00 04 02 08 08 02 02 02 00 02 12 06 06
32 02 00 04 08 02 08 04 04 08 04 02 08 06 02 00 02
33 04 04 06 08 06 06 00 02 02 02 06 04 12 00 00 02
34 00 06 02 02 16 02 02 02 12 02 04 00 04 02 00 08
35 04 06 00 10 08 00 02 02 06 00 00 06 02 10 02 06
36 04 04 04 04 00 06 06 04 04 04 04 04 00 06 02 08
37 04 08 02 04 02 02 06 00 02 04 08 04 10 00 06 02
38 00 08 12 00 02 02 06 06 02 10 02 02 00 08 00 04
39 02 06 04 00 06 04 06 04 08 00 04 04 02 04 08 02
3A 06 00 02 02 04 06 04 04 04 02 02 06 12 02 06 02
3B 02 02 06 00 00 10 04 08 04 02 04 08 04 04 00 06
3C 00 02 04 02 12 02 00 06 02 00 02 08 04 06 04 10
3D 04 06 08 06 02 02 02 02 10 02 06 06 02 04 02 00
3E 08 06 04 04 02 10 02 00 02 02 04 02 04 02 10 02
3F 02 06 04 00 00 10 08 02 02 08 06 04 06 02 00 04
Maximum = 12 for row = 04 and column = 09
left = 04000100	right = 00200000

s4 table
xx 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01 00 00 00 00 00 16 16 00 00 16 16 00 00 00 00 00
02 00 00 00 08 00 04 04 08 00 04 04 08 08 08 08 00
03 08 06 02 00 02 04 08 02 06 00 04 06 00 06 02 08
04 00 00 00 08 00 00 12 04 00 12 00 04 08 04 04 08
05 04 02 02 08 02 12 00 02 02 00 12 02 08 02 02 04
06 00 08 08 04 08 08 00 00 08 00 08 00 04 00 00 08
07 04 02 06 04 06 00 16 06 02 00 00 02 04 02 06 04
08 00 00 00 04 00 08 04 08 00 04 08 08 04 08 08 00
09 08 04 04 04 04 00 08 04 04 00 00 04 04 04 04 08
0A 00 06 06 00 06 04 04 06 06 04 04 06 00 06 06 00
0B 00 12 00 08 00 00 00 00 12 00 00 12 08 12 00 00
0C 00 00 00 04 00 08 04 08 00 04 08 08 04 08 08 00
0D 08 04 04 04 04 00 00 04 04 08 00 04 04 04 04 08
0E 00 06 06 04 06 00 04 06 06 04 00 06 04 06 06 00
0F 00 06 06 04 06 04 00 06 06 00 04 06 04 06 06 00
10 00 00 00 00 00 08 12 04 00 12 08 04 00 04 04 08
11 04 02 02 16 02 04 00 02 02 00 04 02 16 02 02 04
12 00 00 00 08 00 04 04 08 00 04 04 08 08 08 08 00
13 08 02 06 00 06 04 00 06 02 08 04 02 00 02 06 08
14 00 08 08 00 08 00 08 00 08 08 00 00 00 00 00 16
15 08 04 04 00 04 08 00 04 04 00 08 04 00 04 04 08
16 00 08 08 04 08 08 00 00 08 00 08 00 04 00 00 08
17 04 06 02 04 02 00 00 02 06 16 00 06 04 06 02 04
18 00 08 08 08 08 04 00 00 08 00 04 00 08 00 00 08
19 04 04 04 00 04 04 16 04 04 00 04 04 00 04 04 04
1A 00 06 06 04 06 00 04 06 06 04 00 06 04 06 06 00
1B 00 06 06 04 06 04 00 06 06 00 04 06 04 06 06 00
1C 00 08 08 08 08 04 00 00 08 00 04 00 08 00 00 08
1D 04 04 04 00 04 04 00 04 04 16 04 04 00 04 04 04
1E 00 06 06 00 06 04 04 06 06 04 04 06 00 06 06 00
1F 00 00 12 08 12 00 00 12 00 00 00 00 08 00 12 00
20 00 00 00 08 00 00 00 12 00 00 00 12 08 12 12 00
21 00 04 08 00 08 04 08 08 04 00 04 04 00 04 08 00
22 08 02 02 00 02 04 08 06 02 08 04 06 00 06 06 00
23 04 06 02 08 02 04 00 02 06 00 04 06 08 06 02 04
24 00 06 06 04 06 04 00 06 06 00 04 06 04 06 06 00
25 00 08 04 04 04 00 00 04 08 08 00 08 04 08 04 00
26 00 06 06 00 06 04 08 02 06 08 04 02 00 02 02 08
27 04 06 02 08 02 04 00 02 06 00 04 06 08 06 02 04
28 16 04 04 00 04 04 04 04 04 04 04 04 00 04 04 00
29 00 06 02 08 02 04 00 02 06 08 04 06 08 06 02 00
2A 00 02 02 16 02 04 04 02 02 04 04 02 16 02 02 00
2B 08 00 04 00 04 08 16 04 00 00 08 00 00 00 04 08
2C 08 04 04 04 04 00 08 04 04 08 00 04 04 04 04 00
2D 04 02 06 04 06 08 00 06 02 00 08 02 04 02 06 04
2E 16 00 00 00 00 16 00 00 00 00 16 00 00 00 00 16
2F 16 00 00 00 00 00 16 00 00 16 00 00 00 00 00 16
30 00 06 06 04 06 04 00 06 06 00 04 06 04 06 06 00
31 00 08 04 04 04 00 00 04 08 08 00 08 04 08 04 00
32 16 06 06 04 06 00 04 02 06 04 00 02 04 02 02 00
33 00 02 06 04 06 08 08 06 02 00 08 02 04 02 06 00
34 00 12 12 08 12 00 00 00 12 00 00 00 08 00 00 00
35 00 04 08 00 08 04 08 08 04 00 04 04 00 04 08 00
36 00 02 02 04 02 00 04 06 02 04 00 06 04 06 06 16
37 00 02 06 04 06 08 08 06 02 00 08 02 04 02 06 00
38 00 04 04 00 04 04 04 04 04 04 04 04 00 04 04 16
39 00 06 02 08 02 04 00 02 06 08 04 06 08 06 02 00
3A 00 04 04 00 04 08 08 04 04 08 08 04 00 04 04 00
3B 16 04 04 00 04 00 00 04 04 00 00 04 00 04 04 16
3C 00 04 04 04 04 00 08 04 04 08 00 04 04 04 04 08
3D 04 02 06 04 06 08 00 06 02 00 08 02 04 02 06 04
3E 00 02 02 08 02 12 04 02 02 04 12 02 08 02 02 00
3F 08 04 00 08 00 00 00 00 04 16 00 04 08 04 00 08
Maximum = 12 for row = 04 and column = 06
left = 00401000	right = 00020000

s5 table
xx 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01 00 00 00 04 00 10 08 06 00 04 02 02 12 10 02 04
02 00 00 00 04 00 10 06 04 00 06 04 02 04 08 10 06
03 08 02 04 06 04 04 02 02 06 08 06 04 04 00 02 02
04 00 00 00 08 00 04 10 06 00 06 06 04 08 06 00 06
05 12 02 00 04 00 04 08 02 04 00 16 02 00 02 00 08
06 00 08 04 06 04 06 02 02 04 04 06 00 06 00 02 10
07 02 00 04 08 04 02 06 06 02 08 06 02 02 00 06 06
08 00 00 00 02 00 08 10 04 00 04 10 04 08 04 04 06
09 08 06 00 04 00 06 06 02 02 10 02 08 06 02 00 02
0A 00 06 08 06 00 08 00 00 08 10 04 02 08 00 00 04
0B 04 02 02 04 08 10 06 04 02 06 02 02 06 02 02 02
0C 00 00 00 10 00 02 10 02 00 06 10 06 06 06 02 04
0D 10 04 02 02 00 06 16 00 00 02 10 02 02 04 00 04
0E 00 06 04 08 04 06 10 02 04 04 04 02 04 00 02 04
0F 04 04 00 08 00 02 00 02 08 02 04 02 08 04 04 12
10 00 00 00 00 00 04 04 12 00 02 08 10 04 06 12 02
11 06 06 10 10 04 00 02 06 02 04 00 06 02 04 02 00
12 00 02 04 02 10 04 00 10 08 06 00 06 00 06 06 00
13 00 00 06 02 08 00 00 04 04 06 02 08 02 08 10 04
14 00 12 02 06 04 00 04 04 08 04 04 04 06 02 04 00
15 04 08 00 02 08 00 02 04 02 02 04 02 04 08 08 06
16 00 06 10 02 14 00 02 02 04 04 00 06 00 04 06 04
17 00 06 08 04 08 04 00 02 08 04 00 02 02 08 06 02
18 00 10 08 00 06 04 00 04 04 04 06 04 04 04 00 06
19 00 04 06 02 04 04 02 06 04 02 02 04 12 02 10 00
1A 00 02 16 02 12 02 00 06 04 00 00 04 00 04 04 08
1B 02 08 12 00 00 02 02 06 08 04 00 06 00 00 08 06
1C 00 10 02 06 06 06 06 04 08 02 00 04 04 04 02 00
1D 04 06 02 00 08 02 04 06 06 00 08 06 02 04 02 04
1E 00 02 06 02 04 00 00 02 12 02 02 06 02 10 10 04
1F 00 06 08 04 08 08 00 06 06 02 00 06 00 06 02 02
20 00 00 00 08 00 08 02 06 00 04 04 04 06 06 08 08
21 00 00 00 06 06 02 06 04 06 10 14 04 00 00 04 02
22 14 04 00 10 00 02 12 02 02 02 10 02 00 00 02 02
23 02 00 00 04 02 02 10 04 00 08 08 02 06 08 00 08
24 06 02 08 04 04 04 06 02 02 06 06 02 06 02 02 02
25 06 00 00 08 02 08 02 06 06 04 02 02 04 02 06 06
26 12 00 00 04 00 04 04 04 00 08 04 00 12 08 00 04
27 12 02 00 02 00 12 02 02 04 04 08 04 08 02 02 00
28 02 08 04 06 02 04 06 00 06 06 04 00 02 02 02 10
29 06 04 06 08 08 04 06 02 00 00 02 02 10 00 02 04
2A 04 04 00 02 02 04 06 02 00 00 06 04 10 04 04 12
2B 04 06 02 06 00 00 12 02 00 04 12 02 06 04 00 04
2C 08 06 02 06 04 08 06 00 04 04 00 02 06 00 06 02
2D 04 04 00 04 00 06 04 02 04 12 00 04 04 06 04 06
2E 06 00 02 04 00 06 06 04 02 10 06 10 06 02 00 00
2F 10 04 00 02 02 06 10 02 00 02 02 04 06 02 02 10
30 00 04 08 04 06 04 00 06 10 04 02 04 02 06 04 00
31 00 06 06 04 10 02 00 00 04 04 00 00 04 06 12 06
32 04 06 00 02 06 04 06 00 06 00 04 06 04 10 06 00
33 08 10 00 14 08 00 00 08 02 00 02 04 00 04 04 00
34 00 04 04 02 14 04 00 08 06 08 02 02 00 04 06 00
35 00 04 16 00 08 04 00 04 04 04 00 08 00 04 04 04
36 04 04 04 06 02 02 02 12 02 04 04 08 02 04 04 00
37 04 02 02 02 04 02 00 08 02 02 02 12 06 02 08 06
38 00 04 08 04 12 00 00 08 10 02 00 00 00 04 02 10
39 00 08 12 00 02 02 02 02 12 04 00 08 00 04 04 04
3A 00 14 04 00 04 06 00 00 06 02 10 08 00 00 04 06
3B 00 02 02 02 04 04 08 06 08 02 02 02 06 14 02 00
3C 00 00 10 02 06 00 00 02 06 02 02 10 02 04 10 08
3D 00 06 12 02 04 08 00 08 08 02 02 00 02 02 04 04
3E 04 04 10 00 02 04 08 08 02 02 00 02 06 08 04 00
3F 08 06 06 00 04 02 02 04 04 02 08 06 02 04 06 00
Maximum = 10 for row = 04 and column = 06
left = 00040080	right = 00002000

s6 table
xx 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01 00 00 00 06 00 02 06 02 00 04 02 04 06 16 14 02
02 00 00 00 02 00 10 06 10 00 02 04 08 06 06 08 02
03 00 08 00 08 00 06 04 06 04 04 04 12 02 04 02 00
04 00 00 00 08 00 00 08 00 00 06 08 10 02 04 10 08
05 10 02 04 04 04 08 08 04 02 02 00 04 00 08 00 04
06 00 08 04 04 08 04 02 02 12 00 02 06 06 02 02 02
07 06 06 04 00 02 10 02 02 02 02 06 06 08 00 06 02
08 00 00 00 06 00 02 16 04 00 02 06 02 04 12 06 04
09 10 04 02 06 00 02 06 02 04 00 08 06 04 04 02 04
0A 00 14 04 04 00 02 02 02 10 04 04 04 06 04 02 02
0B 04 06 02 00 02 02 12 08 02 02 02 06 08 02 00 06
0C 00 00 00 12 00 10 04 06 00 08 04 04 02 12 02 00
0D 12 00 02 10 06 04 04 02 04 02 06 00 02 06 00 04
0E 00 06 04 00 04 04 10 08 06 02 04 06 02 00 06 02
0F 02 02 02 02 06 02 06 02 10 04 08 02 06 04 04 02
10 00 00 00 08 00 08 00 12 00 04 02 06 08 04 06 06
11 06 02 06 04 06 02 06 04 06 06 04 02 04 00 06 00
12 00 08 04 02 00 04 02 00 04 10 06 02 08 06 04 04
13 06 06 12 00 12 02 00 06 06 02 00 04 00 02 04 02
14 00 04 06 02 08 06 00 02 06 10 04 00 02 04 06 04
15 02 02 06 06 04 04 02 06 02 06 08 04 04 00 04 04
16 00 04 14 06 08 04 02 06 02 00 02 00 04 02 00 10
17 02 06 08 00 00 02 00 02 02 06 00 08 08 02 12 06
18 00 04 06 06 08 04 02 02 06 04 06 04 02 04 02 04
19 02 06 00 02 04 04 04 06 04 08 06 04 02 02 06 04
1A 00 06 06 00 08 02 04 06 04 02 04 06 02 00 04 10
1B 00 04 10 02 04 04 02 06 06 06 02 02 06 06 02 02
1C 00 00 08 02 12 02 06 02 08 06 06 02 04 00 04 02
1D 02 04 00 06 08 06 00 02 06 08 06 00 02 04 00 10
1E 00 10 08 02 08 02 00 02 06 04 02 04 06 04 02 04
1F 00 06 06 08 06 04 02 04 04 02 02 00 02 04 02 12
20 00 00 00 00 00 06 06 04 00 04 08 08 04 06 10 08
21 02 08 06 08 04 04 06 06 08 04 00 04 00 02 02 00
22 16 02 04 06 02 04 02 00 06 04 08 02 00 02 02 04
23 00 04 00 04 04 06 10 04 02 02 06 02 04 06 06 04
24 10 08 00 06 12 06 10 04 08 00 00 00 00 00 00 00
25 00 02 04 02 00 04 04 00 04 00 10 10 04 10 06 04
26 02 02 00 12 02 02 06 02 04 04 08 00 06 06 08 00
27 08 04 00 08 02 04 02 04 00 06 02 04 04 08 02 06
28 06 08 04 06 00 04 02 02 04 08 02 06 04 02 02 04
29 02 04 04 00 08 08 06 08 06 04 00 04 04 04 02 00
2A 06 00 00 06 06 04 06 08 02 04 00 02 02 04 06 08
2B 12 00 04 00 00 04 02 02 02 06 10 06 10 02 04 00
2C 04 02 06 00 00 06 08 06 04 02 02 08 04 06 04 02
2D 06 02 02 06 06 04 04 02 06 02 04 08 04 02 04 02
2E 04 06 02 04 02 04 04 02 04 02 04 06 04 10 04 02
2F 10 00 04 08 00 06 06 02 00 04 04 02 06 02 02 08
30 00 12 08 02 00 06 00 00 06 06 00 02 08 02 06 06
31 02 06 10 04 02 02 02 04 06 00 02 06 00 02 04 12
32 04 02 02 08 10 08 08 06 00 02 02 04 04 02 02 00
33 04 02 02 02 06 00 04 00 10 06 06 04 00 04 08 06
34 00 04 04 02 06 04 00 04 06 02 06 04 02 08 00 12
35 06 12 04 02 04 02 02 04 08 02 02 00 06 04 04 02
36 00 02 02 04 04 04 04 00 02 10 12 04 00 10 04 02
37 10 02 02 06 14 02 02 06 02 00 04 06 02 00 04 02
38 00 04 14 00 08 02 00 04 04 04 02 00 08 02 04 08
39 02 04 08 00 06 02 00 06 02 06 04 02 08 06 02 06
3A 08 04 00 04 06 02 00 04 06 08 06 00 06 00 04 06
3B 00 04 06 06 02 02 02 14 00 12 00 04 02 02 08 00
3C 00 06 16 00 02 02 02 08 04 02 00 12 06 02 02 00
3D 00 06 02 02 02 06 08 02 04 02 06 02 06 02 04 10
3E 04 02 02 04 04 00 06 10 04 02 04 06 06 02 06 02
3F 00 04 06 06 04 08 04 00 04 08 04 00 04 08 02 02
Maximum = 16 for row = 08 and column = 06
left = 00200008	right = 00000400

s7 table
xx 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01 00 00 00 02 00 04 04 14 00 12 04 06 02 06 06 04
02 00 00 00 00 00 12 02 02 00 04 00 04 08 12 06 14
03 08 02 12 02 06 08 06 00 06 04 04 02 02 00 00 02
04 00 00 00 08 00 04 04 08 00 08 08 12 02 06 02 02
05 06 00 00 02 08 00 08 04 00 02 06 00 10 06 06 06
